,epoch,train_loss,val_loss
0,1,0.09232748429566796,0.0
1,2,0.05912000762675602,0.0
2,3,0.05221824474425173,0.0
3,4,0.04892603548303727,0.0
4,5,0.045928321354080245,0.04304730134052143
5,6,0.043671234299174765,0.0
6,7,0.04257051015267274,0.0
7,8,0.04050624530620414,0.0
8,9,0.03899230100651466,0.0
9,10,0.03641812814006314,0.04123744732912695
10,11,0.03446413527578771,0.0
11,12,0.03456533694901993,0.0
12,13,0.03386277309687169,0.0
13,14,0.033190266421758444,0.0
14,15,0.03215519102055394,0.03793660945079306
15,16,0.032280142455910744,0.0
16,17,0.031371880657260806,0.0
17,18,0.03138946649233355,0.0
18,19,0.031186119759799447,0.0
19,20,0.03075567658996084,0.03426936951776346
20,21,0.030701058240787636,0.0
21,22,0.030094312663706255,0.0
22,23,0.028670454089177493,0.0
23,24,0.02886887304102483,0.0
24,25,0.028738945725311108,0.033892580373376086
25,26,0.0288076355938644,0.0
26,27,0.027985343633115816,0.0
27,28,0.026584795418077987,0.0
28,29,0.026832419066605242,0.0
29,30,0.027339463748988255,0.03301586516266852
